Name,Population
Acacia,3861
Agdao,7064
Alambre,3314
Alejandra Navarro (Lasang),11893
Alfonso Angliongto Sr.,15611
Angalan,3319
Atan-Awe,1507
Baganihan,2126
Bago Aplaya,18515
Bago Gallera,21409
Bago Oshiro,19169
Baguio,5807
Balengaeng,2444
Baliok,18118
Bangkas Heights,8410
Bantol,2158
Baracatan,3460
Barangay 1-A,2582
Barangay 2-A,2913
Barangay 3-A,531
Barangay 4-A,1749
Barangay 5-A,11321
Barangay 6-A,2250
Barangay 7-A,3621
Barangay 8-A,16460
Barangay 9-A,7738
Barangay 10-A,8982
Barangay 11-B,2399
Barangay 12-B,1249
Barangay 13-B,443
Barangay 14-B,2312
Barangay 15-B,2228
Barangay 16-B,453
Barangay 17-B,969
Barangay 18-B,1024
Barangay 19-B,32836
Barangay 20-B,5256
Barangay 21-C,7336
Barangay 22-C,8248
Barangay 23-C,17876
Barangay 24-C,2001
Barangay 25-C,2388
Barangay 26-C,1511
Barangay 27-C,2106
Barangay 28-C,3639
Barangay 29-C,587
Barangay 30-C,922
Barangay 31-D,9022
Barangay 32-D,1633
Barangay 33-D,1738
Barangay 34-D,1094
Barangay 35-D,431
Barangay 36-D,1326
Barangay 37-D,5726
Barangay 38-D,1349
Barangay 39-D,4316
Barangay 40-D,2190
Bato,12669
Bayabas,4365
Biao Escuela,4499
Biao Guianga,4846
Biao Joaquin,3010
Binugao,8651
Bucana,83192
Buda,2401
Buhangin,70979
Bunawan,23111
Cabantian,48805
Cadalian,3079
Calinan,24780
Callawa,4044
Camansi,1480
Carmen,2626
Catalunan Grande,42868
Catalunan Pequeño,29445
Catigan,4082
Cawayan,3207
Centro (San Juan),17024
Colosas,6256
Communal,16894
Crossing Bayabas,12021
Dacudao,6135
Dalag,2364
Dalagdag,1000
Daliao,21365
Daliaon Plantation,4087
Datu Salumay,1920
Dominga,1614
Dumoy,21900
Eden,2542
Fatima (Benowang),3917
Gatungan,1875
Gov. Paciano Bangoy,7669
Gov. Vicente Duterte,7851
Gumalang,6519
Gumitan,2476
Ilang,25990
Inayangan,4630
Indangan,26521
Kap. Tomas Monteverde Sr.,5036
Kilate,1522
Lacson,6108
Lamanan,4229
Lampianao,1319
Langub,4597
Lapu-lapu,13046
Leon Garcia Sr.,13053
Lizada,24701
Los Amigos,12338
Lubogan,14315
Lumiad,1738
Ma-a,61565
Mabuhay,1686
Magsaysay,3752
Magtuod,5220
Mahayag,7404
Malabog,14221
Malagos,8230
Malamba,6966
Manambulan,3716
Mandug,16284
Manuel Guianga,4336
Mapula,4471
Marapangi,8284
Marilog,20852
Matina Aplaya,33531
Matina Biao,3302
Matina Crossing,39797
Matina Pangi,22277
Megkawayan,2668
Mintal,17546
Mudiang,5940
Mulig,7455
New Carmen,3028
New Valencia,2231
Pampanga,16786
Panacan,42200
Panalum,1936
Pandaitan,4684
Pangyan,2358
Paquibato,3105
Paradise Embak,3338
Rafael Castillo,5785
Riverside,6767
Salapawan,2660
Salaysay,5926
Saloy,2862
San Antonio,12801
San Isidro (Licanan),7266
Santo Niño,22080
Sasa,52702
Sibulan,2529
Sirawan,8207
Sirib,8155
Suawan (Tuli),5696
Subasta,6206
Sumimao,1897
Tacunan,14005
Tagakpan,4976
Tagluno,1869
Tagurano,1426
Talandang,3705
Talomo,65379
Talomo River,9442
Tamayong,8036
Tambobong,6912
Tamugan,9897
Tapak,8131
Tawan-Tawan,4866
Tibuloy,2981
Tibungco,50466
Tigatto,23973
Toril,12600
Tugbok,25244
Tungakalan,3227
Ubalde,2386
Ula,8021
Vicente Hizon Sr.,11179
Waan,4293
Wangan,6707
Wilfredo Aquino,7902
Wines,2965