Barangay_key,DOnset,0
bucana,2019-07-12,16
talomo,2023-08-13,13
talomo,2019-07-20,12
bucana,2023-08-13,12
talomo,2023-07-30,12
talomo,2023-08-20,12
bucana,2019-07-18,12
bucana,2019-06-25,12
buhangin,2019-07-19,11
bucana,2019-07-24,11
bago gallera,2023-08-06,11
talomo,2019-07-21,11
matina crossing,2019-07-11,11
talomo,2019-01-27,11
matina crossing,2019-07-13,10
barangay 19 b,2019-07-14,10
catalunan grande,2023-08-06,10
bucana,2019-07-10,10
talomo,2023-07-23,10
ma a,2019-07-02,10
ma a,2019-06-16,10
talomo,2023-08-27,9
ma a,2019-06-20,9
talomo,2019-07-08,9
talomo river,2024-04-03,9
bucana,2023-07-30,9
bucana,2019-06-18,8
talomo,2019-07-07,8
buhangin,2019-01-09,8
talomo,2019-07-10,8
ma a,2023-08-06,8
toril,2019-07-20,8
talomo,2019-07-12,8
matina aplaya,2019-06-26,8
mintal,2019-07-10,8
matina crossing,2019-07-20,8
matina crossing,2019-03-09,8
barangay 19 b,2019-07-24,8
baliok,2023-08-27,8
barangay 19 b,2019-07-01,8
cabantian,2023-08-06,8
talomo,2023-09-15,8
barangay 19 b,2019-06-30,8
talomo,2019-07-03,8
bucana,2024-08-31,8
buhangin,2019-01-26,8
buhangin,2023-07-30,8
buhangin,2023-08-06,8
matina crossing,2019-07-03,8
buhangin,2019-07-05,7
bucana,2019-08-20,7
buhangin,2019-07-15,7
bucana,2019-07-09,7
tacunan,2023-08-06,7
toril,2019-01-01,7
tigatto,2019-07-01,7
matina crossing,2019-01-26,7
buhangin,2019-07-13,7
buhangin,2019-03-29,7
ma a,2019-02-13,7
lizada,2023-08-13,7
gumalang,2024-02-18,7
cabantian,2019-02-24,7
matina crossing,2024-04-22,7
matina crossing,2024-08-16,7
talomo,2019-07-18,7
cabantian,2019-03-01,7
talomo,2023-08-06,7
bucana,2019-08-01,7
barangay 23 c,2019-07-22,7
talomo,2023-06-15,7
catalunan pequeno,2023-08-06,7
santo nino,2023-07-30,7
talomo,2019-06-29,7
bucana,2019-06-20,7
talomo,2019-01-19,6
indangan,2019-01-20,6
indangan,2019-07-10,6
buhangin,2024-07-22,6
buhangin,2024-07-08,6
toril,2024-08-20,6
barangay 19 b,2019-04-08,6
catalunan grande,2019-02-15,6
catalunan grande,2019-07-21,6
ma a,2019-07-11,6
cabantian,2019-04-30,6
baliok,2019-07-06,6
cabantian,2019-07-12,6
barangay 19 b,2019-03-28,6
ma a,2024-09-11,6
catalunan grande,2019-07-04,6
talomo,2019-07-17,6
barangay 19 b,2023-08-06,6
matina crossing,2019-06-13,6
ma a,2019-01-10,6
catalunan grande,2023-07-30,6
calinan,2023-08-20,6
talomo,2023-10-06,6
toril,2019-06-21,6
tibungco,2024-08-02,6
calinan,2024-09-17,6
catalunan grande,2023-07-23,6
ma a,2024-08-09,6
catalunan grande,2023-08-13,6
catalunan pequeno,2023-07-30,6
toril,2019-05-02,6
bucana,2019-01-06,6
communal,2019-06-19,6
talomo,2019-07-23,6
matina crossing,2023-08-06,6
ma a,2024-08-21,6
talomo,2019-08-02,6
bucana,2019-06-22,6
talomo,2019-06-26,6
ma a,2024-07-19,6
panacan,2019-01-06,6
talomo river,2024-06-29,6
mandug,2024-05-29,6
bucana,2019-06-15,6
panacan,2019-07-08,6
matina aplaya,2019-01-03,6
daliao,2019-02-19,6
alfonso angliongto sr,2019-07-13,6
alfonso angliongto sr,2019-07-14,6
daliao,2019-01-07,6
bucana,2019-07-07,6
barangay 19 b,2019-02-22,6
rafael castillo,2019-01-31,6
bucana,2019-07-20,6
daliao,2019-01-15,6
talomo,2019-06-24,6
talomo,2019-03-23,6
bucana,2024-02-25,6
matina aplaya,2019-01-08,6
daliao,2019-03-10,6
barangay 7 a,2019-07-17,6
buhangin,2019-07-12,6
talomo,2019-02-13,6
buhangin,2019-01-11,6
daliao,2019-05-04,6
buhangin,2019-02-01,6
matina crossing,2019-08-16,6
buhangin,2019-03-02,6
buhangin,2019-02-21,6
buhangin,2019-06-16,6
talomo,2024-08-25,6
sasa,2023-08-20,6
matina crossing,2019-06-23,6
buhangin,2019-07-11,6
talomo,2024-07-05,6
daliao,2019-07-03,6
talomo,2019-01-03,6
tibungco,2019-02-28,6
dumoy,2019-07-05,6
talomo,2019-01-13,6
buhangin,2023-08-27,6
barangay 19 b,2019-02-15,6
calinan,2024-12-10,5
matina crossing,2019-06-08,5
matina crossing,2019-07-14,5
alfonso angliongto sr,2019-02-16,5
alfonso angliongto sr,2019-02-17,5
sasa,2024-08-16,5
catalunan grande,2019-02-21,5
talomo,2018-07-28,5
tibungco,2024-11-30,5
talomo,2023-07-15,5
matina crossing,2023-11-04,5
catalunan grande,2023-06-15,5
talomo,2017-06-20,5
sasa,2019-10-10,5
sasa,2024-08-31,5
tacunan,2023-08-20,5
bucana,2019-07-13,5
talomo,2024-08-02,5
talomo,2019-02-01,5
ma a,2019-08-14,5
buhangin,2019-01-10,5
tigatto,2019-06-29,5
tigatto,2019-06-30,5
bucana,2019-07-16,5
daliao,2019-07-06,5
talomo,2024-08-08,5
tigatto,2019-07-05,5
ma a,2019-08-07,5
talomo,2019-07-15,5
matina crossing,2019-07-25,5
daliao,2019-07-05,5
bucana,2024-08-29,5
daliao,2019-07-21,5
buhangin,2019-08-19,5
buhangin,2023-06-28,5
barangay 19 b,2019-07-05,5
dacudao,2024-01-21,5
talomo,2019-02-17,5
sasa,2019-08-02,5
buhangin,2023-06-20,5
barangay 19 b,2019-03-04,5
tibungco,2023-08-27,5
bago gallera,2023-08-13,5
