barangay,weight,cases_in_window,window_start,window_end,alpha_smooth,run_id
acacia,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
agdao,0.011270491803278689,76.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
alambre,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
alejandra navarro,0.00351288056206089,23.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
alfonso angliongto sr,0.007611241217798595,51.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
angalan,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
atan awe,0.0002927400468384075,1.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
baganihan,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago aplaya,0.005269320843091335,35.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago gallera,0.012295081967213115,83.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bago oshiro,0.0032201405152224825,21.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
baguio,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
balengaeng,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
baliok,0.009806791569086652,66.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bangkas heights,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bantol,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
baracatan,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 10 a,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 11 b,0.0026346604215456673,17.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 12 b,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 13 b,0.00014637002341920375,0.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 14 b,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 15 b,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 16 b,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 17 b,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 18 b,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 19 b,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 1 a,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 20 b,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 21 c,0.004391100702576112,29.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 22 c,0.003951990632318501,26.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 23 c,0.006147540983606557,41.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 24 c,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 25 c,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 26 c,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 27 c,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 28 c,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 29 c,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 2 a,0.0026346604215456673,17.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 30 c,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 31 d,0.004391100702576112,29.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 32 d,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 33 d,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 34 d,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 35 d,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 36 d,0.0008782201405152225,5.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 37 d,0.004976580796252928,33.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 38 d,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 39 d,0.002927400468384075,19.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 3 a,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 40 d,0.0030737704918032786,20.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 4 a,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 5 a,0.009953161592505855,67.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 6 a,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 7 a,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 8 a,0.005415690866510539,36.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
barangay 9 a,0.00468384074941452,31.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bato,0.006001170960187353,40.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bayabas,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
biao escuela,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
biao guianga,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
biao joaquin,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
binugao,0.005122950819672131,34.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bucana,0.044642857142857144,304.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
buda,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
buhangin,0.04186182669789227,285.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
bunawan,0.015515222482435597,105.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
cabantian,0.01668618266978923,113.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
cadalian,0.004391100702576112,29.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
calinan,0.04156908665105386,283.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
callawa,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
camansi,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
carmen,0.0032201405152224825,21.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
catalunan grande,0.023126463700234193,157.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
catalunan pequeno,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
catigan,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
cawayan,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
centro,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
colosas,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
communal,0.006440281030444965,43.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
crossing bayabas,0.008343091334894614,56.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
dacudao,0.00585480093676815,39.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
dalag,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
dalagdag,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
daliao,0.011416861826697893,77.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
daliaon plantation,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
datu salumay,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
dominga,0.0002927400468384075,1.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
dumoy,0.008343091334894614,56.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
eden,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
fatima,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
gatungan,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
gov paciano bangoy,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
gov vicente duterte,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
gumalang,0.008343091334894614,56.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
gumitan,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
ilang,0.010685011709601873,72.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
inayangan,0.00234192037470726,15.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
indangan,0.008489461358313818,57.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
kap tomas monteverde sr,0.0032201405152224825,21.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
kilate,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lacson,0.00468384074941452,31.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lamanan,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lampianao,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
langub,0.002488290398126464,16.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lapu lapu,0.0020491803278688526,13.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
leon garcia sr,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lizada,0.006293911007025761,42.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
los amigos,0.011563231850117097,78.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lubogan,0.011270491803278689,76.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
lumiad,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
ma a,0.030591334894613582,208.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mabuhay,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
magsaysay,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
magtuod,0.0020491803278688526,13.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mahayag,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
malabog,0.008928571428571428,60.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
malagos,0.009953161592505855,67.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
malamba,0.0008782201405152225,5.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
manambulan,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mandug,0.005122950819672131,34.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
manuel guianga,0.0020491803278688526,13.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mapula,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
marapangi,0.00234192037470726,15.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
marilog,0.008050351288056206,54.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
matina aplaya,0.0156615925058548,106.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
matina biao,0.0026346604215456673,17.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
matina crossing,0.028249414519906323,192.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
matina pangi,0.008489461358313818,57.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
megkawayan,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mintal,0.013026932084309134,88.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mudiang,0.002488290398126464,16.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
mulig,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
new carmen,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
new valencia,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
pampanga,0.005122950819672131,34.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
panacan,0.023711943793911006,161.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
panalum,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
pandaitan,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
pangyan,0.0020491803278688526,13.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
paquibato,0.006879391100702576,46.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
paradise embak,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
rafael castillo,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
riverside,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
salapawan,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
salaysay,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
saloy,0.00117096018735363,7.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
san antonio,0.0016100702576112413,10.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
san isidro,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
santo nino,0.008489461358313818,57.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
sasa,0.019613583138173303,133.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
sibulan,0.0008782201405152225,5.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
sirawan,0.003951990632318501,26.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
sirib,0.008050351288056206,54.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
suawan,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
subasta,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
sumimao,0.00234192037470726,15.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tacunan,0.012002341920374707,81.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tagakpan,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tagluno,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tagurano,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
talandang,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
talomo,0.04112997658079625,280.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
talomo river,0.005708430913348946,38.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tamayong,0.005415690866510539,36.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tambobong,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tamugan,0.004976580796252928,33.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tapak,0.000585480093676815,3.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tawan tawan,0.005269320843091335,35.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tibuloy,0.0010245901639344263,6.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tibungco,0.02663934426229508,181.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tigatto,0.015076112412177985,102.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
toril,0.020491803278688523,139.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tugbok,0.015076112412177985,102.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
tungakalan,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
ubalde,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
ula,0.004098360655737705,27.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
vicente hizon sr,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
waan,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
wangan,0.004537470725995316,30.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
wilfredo aquino,0.003366510538641686,22.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
wines,0.003366510538641686,22.0,2024-07-15,2025-07-07,1.0,21b2c126-b7ef-41d0-9399-8f12776cffcc
