run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,rank_reason
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,1,bucana,14.0,2.875,11.5,34.35118451705776,2.7480947613646207,True,High recent observed burden (past W: 14.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,2,catalunan grande,9.0,1.75,7.0,25.76338838779332,3.220423548474165,True,High recent observed burden (past W: 9.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,3,matina crossing,8.0,2.5,10.0,20.214350888883992,1.8376682626258174,True,High recent observed burden (past W: 8.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,4,barangay 37 d,7.0,1.25,5.0,3.302998511255554,0.5504997518759257,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,5,daliao,7.0,1.0,4.0,11.362314878719106,2.2724629757438213,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,6,toril,7.0,1.25,5.0,13.740473806823106,2.290078967803851,True,High recent observed burden (past W: 7.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,7,barangay 19 b,6.0,1.375,5.5,9.512635712415996,1.4634824172947687,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,8,buhangin,6.0,1.75,7.0,33.82270475525688,4.22783809440711,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,9,malagos,6.0,0.75,3.0,8.45567618881422,2.113919047203555,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,10,tibungco,6.0,0.875,3.5,24.57430892374132,5.460957538609183,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,11,tugbok,6.0,1.0,4.0,10.833835116918218,2.1667670233836436,True,High recent observed burden (past W: 6.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,12,bago gallera,5.0,0.75,3.0,19.157391365282216,4.789347841320554,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,13,baguio,5.0,1.125,4.5,7.398716665212441,1.3452212118568074,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,14,cadalian,5.0,0.625,2.5,1.8496791663031102,0.5284797618008886,False,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,15,los amigos,5.0,1.125,4.5,5.813277379809774,1.056959523601777,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,16,ma a,5.0,1.375,5.5,20.874950591135104,3.2115308601746313,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,17,tambobong,5.0,1.5,6.0,3.03875863035511,0.4341083757650157,True,High recent observed burden (past W: 5.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,18,barangay 40 d,4.0,0.625,2.5,0.9248395831515551,0.2642398809004443,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,19,calinan,4.0,1.0,4.0,18.496791663031104,3.699358332606221,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,20,kilate,4.0,0.75,3.0,0.792719642701333,0.19817991067533325,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,21,malabog,4.0,0.5,2.0,2.378158928103999,0.792719642701333,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,22,sasa,4.0,0.75,3.0,17.439832139429328,4.359958034857332,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,23,tagurano,4.0,0.75,3.0,1.0569595236017775,0.26423988090044437,False,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,24,ula,4.0,1.125,4.5,3.170878570805332,0.5765233765100604,True,High recent observed burden (past W: 4.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,25,barangay 23 c,3.0,0.625,2.5,3.831478273056443,1.0947080780161265,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,26,barangay 6 a,3.0,0.375,1.5,1.3211994045022215,0.5284797618008886,False,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,27,bunawan,3.0,0.5,2.0,17.439832139429328,5.813277379809776,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,28,cabantian,3.0,0.625,2.5,19.950111007983548,5.700031716566728,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,29,crossing bayabas,3.0,1.25,5.0,6.738116962961331,1.1230194938268885,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,30,lubogan,3.0,0.625,2.5,11.098074997818664,3.1708785708053324,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,31,marilog,3.0,0.75,3.0,12.683514283221328,3.170878570805332,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,32,matina aplaya,3.0,0.75,3.0,13.079874104571994,3.2699685261429985,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,33,panacan,3.0,1.0,4.0,18.496791663031104,3.699358332606221,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,34,paquibato,3.0,1.375,5.5,1.1890794640519995,0.1829353021618461,False,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,35,talomo,3.0,1.625,6.5,39.63598213506665,5.284797618008886,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,36,tigatto,3.0,0.625,2.5,11.362314878719106,3.2463756796340304,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,37,vicente hizon sr,3.0,0.625,2.5,3.302998511255554,0.9437138603587297,True,High recent observed burden (past W: 3.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,38,barangay 10 a,2.0,0.375,1.5,1.585439285402666,0.6341757141610664,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,39,barangay 31 d,2.0,0.5,2.0,3.963598213506665,1.3211994045022217,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,40,bato,2.0,0.375,1.5,5.945397320259997,2.378158928103999,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,41,bayabas,2.0,0.375,1.5,1.585439285402666,0.6341757141610664,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,42,binugao,2.0,0.25,1.0,3.831478273056443,1.9157391365282215,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,43,carmen,2.0,0.25,1.0,1.585439285402666,0.792719642701333,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,44,catalunan pequeno,2.0,1.0,4.0,20.082230948433768,4.016446189686754,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,45,gov paciano bangoy,2.0,0.375,1.5,2.246038987653777,0.8984155950615108,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,46,gumalang,2.0,0.375,1.5,9.512635712415996,3.805054284966398,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,47,kap tomas monteverde sr,2.0,0.625,2.5,0.9248395831515551,0.2642398809004443,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,48,leon garcia sr,2.0,0.25,1.0,3.831478273056443,1.9157391365282215,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,49,mabuhay,2.0,0.25,1.0,1.0569595236017775,0.5284797618008887,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,50,matina biao,2.0,0.5,2.0,1.1890794640519995,0.3963598213506665,False,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,51,matina pangi,2.0,0.625,2.5,7.530836605662664,2.151667601617904,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,52,mintal,2.0,1.375,5.5,15.590152973126214,2.3984850727886484,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,53,riverside,2.0,0.25,1.0,4.22783809440711,2.113919047203555,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,54,santo nino,2.0,0.875,3.5,12.947754164121772,2.8772787031381717,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,55,talomo river,2.0,0.375,1.5,8.191436307913774,3.2765745231655097,True,High recent observed burden (past W: 2.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,56,acacia,1.0,0.125,0.5,1.4533193449524435,0.968879563301629,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,57,agdao,1.0,0.75,3.0,7.002356843861775,1.7505892109654437,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,58,alejandra navarro,1.0,0.75,3.0,3.170878570805332,0.792719642701333,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,59,baliok,1.0,0.25,1.0,10.96595505736844,5.48297752868422,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,60,barangay 11 b,1.0,0.375,1.5,1.0569595236017775,0.422783809440711,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,61,barangay 12 b,1.0,0.25,1.0,0.6605997022511108,0.3302998511255554,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,62,barangay 18 b,1.0,0.125,0.5,1.0569595236017775,0.704639682401185,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,63,barangay 2 a,1.0,0.25,1.0,1.3211994045022215,0.6605997022511108,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,64,barangay 39 d,1.0,0.125,0.5,1.3211994045022215,0.880799603001481,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,65,barangay 8 a,1.0,0.25,1.0,4.22783809440711,2.113919047203555,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,66,barangay 9 a,1.0,0.125,0.5,3.831478273056443,2.554318848704295,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,67,buda,1.0,0.125,0.5,1.585439285402666,1.0569595236017773,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,68,centro,1.0,0.25,1.0,2.774518749454666,1.387259374727333,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,69,communal,1.0,0.125,0.5,7.398716665212441,4.932477776808294,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,70,dacudao,1.0,0.125,0.5,12.683514283221328,8.455676188814218,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,71,gatungan,1.0,0.125,0.5,1.4533193449524435,0.968879563301629,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,72,ilang,1.0,0.125,0.5,9.512635712415996,6.341757141610664,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,73,lamanan,1.0,0.375,1.5,3.302998511255554,1.3211994045022215,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,74,langub,1.0,0.125,0.5,1.8496791663031102,1.2331194442020734,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,75,lumiad,1.0,1.0,4.0,1.1890794640519995,0.2378158928103999,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,76,mandug,1.0,0.25,1.0,11.758674700069772,5.879337350034886,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,77,mulig,1.0,0.125,0.5,4.756317856207998,3.170878570805332,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,78,new valencia,1.0,0.125,0.5,0.792719642701333,0.5284797618008886,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,79,pampanga,1.0,0.125,0.5,5.152677677558665,3.4351184517057765,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,80,sirib,1.0,0.25,1.0,4.095718153956887,2.0478590769784435,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,81,tacunan,1.0,0.375,1.5,14.533193449524438,5.813277379809775,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,82,tamugan,1.0,0.25,1.0,4.095718153956887,2.0478590769784435,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,83,tawan tawan,1.0,0.5,2.0,3.170878570805332,1.0569595236017773,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,84,waan,1.0,0.125,0.5,1.4533193449524435,0.968879563301629,False,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,85,wilfredo aquino,1.0,0.125,0.5,2.246038987653777,1.497359325102518,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,86,wines,1.0,0.375,1.5,5.284797618008886,2.1139190472035545,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,87,alambre,0.0,0.125,0.5,0.792719642701333,0.5284797618008886,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,88,alfonso angliongto sr,0.0,0.125,0.5,6.473877082060886,4.315918054707257,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,89,angalan,0.0,0.25,1.0,3.4351184517057765,1.7175592258528882,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,90,atan awe,0.0,0.0,0.0,1.0569595236017775,1.0569595236017775,False,High recent observed burden (past W: 0.00)
