model_scope,model_name,attempted_units,successful_units,failed_units,failure_rate,run_id,run_kind
city,prophet,1,1,0,0.0,02da1e5c-0c32-4dc8-b155-91454ec76a99,backtest
city,arima,1,1,0,0.0,02da1e5c-0c32-4dc8-b155-91454ec76a99,backtest
local,local_prophet,116,116,0,0.0,02da1e5c-0c32-4dc8-b155-91454ec76a99,backtest
local,local_arima,116,116,0,0.0,02da1e5c-0c32-4dc8-b155-91454ec76a99,backtest
city,prophet,1,1,0,0.0,369df0eb-a246-456e-a1ec-fcd93062499f,backtest
city,arima,1,1,0,0.0,369df0eb-a246-456e-a1ec-fcd93062499f,backtest
local,local_prophet,116,116,0,0.0,369df0eb-a246-456e-a1ec-fcd93062499f,backtest
local,local_arima,116,116,0,0.0,369df0eb-a246-456e-a1ec-fcd93062499f,backtest
city,prophet,1,1,0,0.0,4585b4d1-c076-450f-9676-8353b9124b59,backtest
city,arima,1,1,0,0.0,4585b4d1-c076-450f-9676-8353b9124b59,backtest
local,local_prophet,0,0,0,0.0,4585b4d1-c076-450f-9676-8353b9124b59,backtest
local,local_arima,0,0,0,0.0,4585b4d1-c076-450f-9676-8353b9124b59,backtest
city,prophet,1,1,0,0.0,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86,backtest
city,arima,1,1,0,0.0,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86,backtest
local,local_prophet,0,0,0,0.0,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86,backtest
local,local_arima,0,0,0,0.0,91af16bc-bfd8-48b5-9bb1-22fd6fb13f86,backtest
city,prophet,1,1,0,0.0,eeba25c2-6478-44b9-ac9e-1015e8abbd32,backtest
city,arima,1,1,0,0.0,eeba25c2-6478-44b9-ac9e-1015e8abbd32,backtest
local,local_prophet,0,0,0,0.0,eeba25c2-6478-44b9-ac9e-1015e8abbd32,backtest
local,local_arima,0,0,0,0.0,eeba25c2-6478-44b9-ac9e-1015e8abbd32,backtest
city,prophet,1,1,0,0.0,ab1435bf-411a-488f-9450-4d5795d7106b,backtest
city,arima,1,1,0,0.0,ab1435bf-411a-488f-9450-4d5795d7106b,backtest
local,local_prophet,0,0,0,0.0,ab1435bf-411a-488f-9450-4d5795d7106b,backtest
local,local_arima,0,0,0,0.0,ab1435bf-411a-488f-9450-4d5795d7106b,backtest
city,prophet,1,1,0,0.0,ecb0fb19-8c33-41f4-8c36-f3c3c100c248,backtest
city,arima,1,1,0,0.0,ecb0fb19-8c33-41f4-8c36-f3c3c100c248,backtest
local,local_prophet,0,0,0,0.0,ecb0fb19-8c33-41f4-8c36-f3c3c100c248,backtest
local,local_arima,0,0,0,0.0,ecb0fb19-8c33-41f4-8c36-f3c3c100c248,backtest
city,prophet,1,1,0,0.0,595619d9-8709-4988-af48-12ac473b103f,backtest
city,arima,1,1,0,0.0,595619d9-8709-4988-af48-12ac473b103f,backtest
local,local_prophet,0,0,0,0.0,595619d9-8709-4988-af48-12ac473b103f,backtest
local,local_arima,0,0,0,0.0,595619d9-8709-4988-af48-12ac473b103f,backtest
city,prophet,1,1,0,0.0,49d1a188-75df-4b91-9faf-08350b5a0a4d,backtest
city,arima,1,1,0,0.0,49d1a188-75df-4b91-9faf-08350b5a0a4d,backtest
local,local_prophet,0,0,0,0.0,49d1a188-75df-4b91-9faf-08350b5a0a4d,backtest
local,local_arima,0,0,0,0.0,49d1a188-75df-4b91-9faf-08350b5a0a4d,backtest
city,prophet,1,1,0,0.0,2cd7614b-e5c7-484d-aa9d-9feb031411e2,backtest
city,arima,1,1,0,0.0,2cd7614b-e5c7-484d-aa9d-9feb031411e2,backtest
local,local_prophet,0,0,0,0.0,2cd7614b-e5c7-484d-aa9d-9feb031411e2,backtest
local,local_arima,0,0,0,0.0,2cd7614b-e5c7-484d-aa9d-9feb031411e2,backtest
city,prophet,1,1,0,0.0,f4ef633f-5a84-49ea-be7d-e1edf5783c0d,backtest
city,arima,1,1,0,0.0,f4ef633f-5a84-49ea-be7d-e1edf5783c0d,backtest
local,local_prophet,0,0,0,0.0,f4ef633f-5a84-49ea-be7d-e1edf5783c0d,backtest
local,local_arima,0,0,0,0.0,f4ef633f-5a84-49ea-be7d-e1edf5783c0d,backtest
city,prophet,1,1,0,0.0,68b58ca5-e135-41df-a6ff-c2cb8122745d,backtest
city,arima,1,1,0,0.0,68b58ca5-e135-41df-a6ff-c2cb8122745d,backtest
local,local_prophet,0,0,0,0.0,68b58ca5-e135-41df-a6ff-c2cb8122745d,backtest
local,local_arima,0,0,0,0.0,68b58ca5-e135-41df-a6ff-c2cb8122745d,backtest
city,prophet,1,1,0,0.0,c402f9ff-d5ac-41b9-8c22-ebef95bb3f98,backtest
city,arima,1,1,0,0.0,c402f9ff-d5ac-41b9-8c22-ebef95bb3f98,backtest
local,local_prophet,0,0,0,0.0,c402f9ff-d5ac-41b9-8c22-ebef95bb3f98,backtest
local,local_arima,0,0,0,0.0,c402f9ff-d5ac-41b9-8c22-ebef95bb3f98,backtest
city,prophet,1,1,0,0.0,fcc6965d-6047-40ee-b3ef-35556bc1df59,backtest
city,arima,1,1,0,0.0,fcc6965d-6047-40ee-b3ef-35556bc1df59,backtest
local,local_prophet,0,0,0,0.0,fcc6965d-6047-40ee-b3ef-35556bc1df59,backtest
local,local_arima,0,0,0,0.0,fcc6965d-6047-40ee-b3ef-35556bc1df59,backtest
city,prophet,1,1,0,0.0,2de8a461-3769-4086-89c9-ab356d166348,backtest
city,arima,1,1,0,0.0,2de8a461-3769-4086-89c9-ab356d166348,backtest
local,local_prophet,0,0,0,0.0,2de8a461-3769-4086-89c9-ab356d166348,backtest
local,local_arima,0,0,0,0.0,2de8a461-3769-4086-89c9-ab356d166348,backtest
